"unique_id","Sector","Division","Region","Unit","Missing1","Ship DC","Missing2","Inv DIN","Mfr Prod Desc","Rpt UOM","Mfr Name","Mfr Brand","Item Category","Item Sub Category","MIN","Inv Pack","year","month","Case Qty","Rept Qty"
"ef023a2d","Levy Sector","Special Events Division","Terry, S Region","55519","ASC WAREHOUSE","DST-10633","Le Chef Bakery","MP008","Pastry Assortment French Mini 1/35 Ct","CA","Le Chef Bakery (DSD)","Le Chef","Appetizer/Hors d'Oeuvres","Dessert Appetizers/Hors d'Oeuvres","MP008","35/35 pcs","2023","2"," 4,00 "," 4,00"
"01ac5ffa","Levy Sector","Special Events Division","Terry, S Region","55589","DIS WAREHOUSE","ATLANTA_064532252D3","Gourmet Foods International - Lakeland FL","10282","Appetizer Beef Wellington Mini 200/1 Oz","CA","Kabob's Inc","Kabobs","Appetizer/Hors d'Oeuvres","Hors d'Oeuvres","K725","200/1.1/OZ","2023","1"," 1,00 "," 1,00"
